point_name,x_torishin_name,y_torishin_name,setsu_name,col_form,angle,kih_x,kih_y,kih_z,tat_x,tat_y,tat_z,hon_x,hon_y,hon_z,you_x,you_y,you_z,con_x,con_y,con_z,comment
X10-Y3,X10,Y3,2,S,,91600,26600,20600,-4,-1,0,-5,-1,0,,,,,,,
X11-Y3,X11,Y3,2,S,,102600,26600,20600,-5,2,1,-5,1,1,,,,,,,
X12-Y3,X12,Y3,2,S,,113600,26600,20600,-4,-1,1,-4,-1,1,,,,,,,
X1-Y4,X1,Y4,2,S,,0,39600,20600,3,2,-3,3,2,-3,,,,,,,
X2-Y4,X2,Y4,2,S,,8800,39600,20600,5,-4,2,4,-6,2,,,,,,,
X3-Y4,x3,Y4,2,S,,15800,39600,20600,4,-5,-3,4,-6,-2,,,,,,,
X4-Y4,x4,Y4,2,S,,26600,39600,20600,-2,-6,-2,-2,-4,-2,,,,,,,
X5-Y4,X5,Y4,2,S,,37400,39600,20600,1,1,2,2,2,2,,,,,,,
X6-Y4,X6,Y4,2,S,,48200,39600,20600,-4,-2,-1,-4,-2,-1,,,,,,,
X7-Y4,X7,Y4,2,S,,59000,39600,20600,-4,-3,-3,-4,-3,-3,,,,,,,
X8-Y4,X8,Y4,2,S,,69800,39600,20600,0,-3,3,0,-3,3,,,,,,,
X9-Y4,X9,Y4,2,S,,80600,39600,20600,-4,-1,2,-4,0,2,,,,,,,
X8A-Y3,X8A,Y3,2,S,,76100,26800,20600,-3,-4,0,-3,-4,1,,,,,,,
X8A-Y4,X8A,Y4,2,S,,76100,39800,20600,-4,-3,3,-4,-2,2,,,,,,,
X10-Y4,X10,Y4,2,S,,91600,39600,20600,-4,0,-2,-4,1,-2,,,,,,,
X11-Y4,X11,Y4,2,S,,102600,39600,20600,-4,0,3,-4,1,3,,,,,,,
X12-Y4,X12,Y4,2,S,,113600,39600,20600,-2,-4,2,-2,-3,2,,,,,,,
X1A-Y5,X1A,Y5,2,S,,2200,42800,20600,-1,-6,1,-1,-6,1,,,,,,,
X2A-Y5,X2A,Y5,2,S,,12600,42800,20600,,,,,,,,,,,,,
X3A-Y5,X3A,Y5,2,S,,14200,42800,20600,0,4,1,0,4,1,,,,,,,
X4A-Y5,X4A,Y5,2,S,,25000,42800,20600,3,5,0,3,5,0,,,,,,,
X5A-Y5,X5A,Y5,2,S,,35800,42800,20600,6,-5,1,6,-5,1,,,,,,,
X6-Y5,X6,Y5,2,S,,48200,42800,20600,3,-5,3,3,-6,3,,,,,,,
X7-Y5,X7,Y5,2,S,,59000,42800,20600,3,-5,-2,3,-4,-2,,,,,,,
X8-Y5,X8,Y5,2,S,,69800,42800,20600,4,-1,1,4,-1,1,,,,,,,
X9-Y5,X9,Y5,2,S,,80600,42800,20600,5,-1,0,5,-1,0,,,,,,,
X10-Y5,X10,Y5,2,S,,91600,42800,20600,0,1,1,0,1,1,,,,,,,
X11-Y5,X11,Y5,2,S,,102600,42800,20600,3,4,2,4,5,2,,,,,,,
X12-Y5,X12,Y5,2,S,,113600,42800,20600,,,,,,,,,,,,,
X1A-Y6,X1A,Y6,2,S,,2200,55800,20600,4,-5,1,4,-6,1,,,,,,,
X2A-Y6,X2A,Y6,2,S,,12600,55800,20600,,,,,,,,,,,,,
X3A-Y6,X3A,Y6,2,S,,14200,55800,20600,0,3,1,0,2,1,,,,,,,
X4A-Y6,X4A,Y6,2,S,,25000,55800,20600,-3,5,2,-4,6,2,,,,,,,
X5A-Y6,X5A,Y6,2,S,,35800,55800,20600,-5,0,2,-6,0,2,,,,,,,
X6-Y6,X6,Y6,2,S,,48200,55800,20600,-5,0,1,-6,0,1,,,,,,,
X7-Y7,X7,Y7,2,S,,59000,58540,20600,-4,-5,-2,-5,-5,-2,,,,,,,
X8-Y7,X8,Y7,2,S,,69800,58540,20600,-4,-3,1,-4,-3,1,,,,,,,
X9-Y7,X9,Y7,2,S,,80600,58540,20600,-4,2,0,-5,2,1,,,,,,,
X10-Y7,X10,Y7,2,S,,91600,58540,20600,0,2,1,0,2,1,,,,,,,
X11-Y7,X11,Y7,2,S,,102600,58540,20600,-1,4,1,-1,5,1,,,,,,,
X12-Y7,X12,Y7,2,S,,113600,58540,20600,,,,,,,,,,,,,
X5-Y1,X5,Y1,3,S,,37400,0,25500,-1,0,1,-1,0,1,,,,,,,
X5-Y2,X5,Y2,3,S,,37400,16300,25500,-5,-3,2,-4,-3,2,,,,,,,
X4B-Y1,X4B,Y1,3,S,,28400,0,25500,-4,-4,0,-5,-5,0,,,,,,,
X4B-Y2,X4B,Y2,3,S,,28400,16300,25500,-4,-5,2,-4,-4,2,,,,,,,
X3B-Y1,X3B,Y1,3,S,,19400,0,25500,-1,-4,2,-2,-4,2,,,,,,,
X3B-Y2,X3B,Y2,3,S,,19400,16300,25500,-5,-2,1,-6,-3,1,,,,,,,
